created_at,entry_id,Moisture_level
2026-02-06 04:43:22 UTC,1,-0.09775
2026-02-06 04:43:44 UTC,2,-0.09775
2026-02-06 04:44:06 UTC,3,-0.09775
2026-02-06 04:44:27 UTC,4,-0.09775
2026-02-06 04:44:49 UTC,5,-0.09775
2026-02-06 04:45:11 UTC,6,4.88759
2026-02-06 04:45:33 UTC,7,4.69208
2026-02-06 04:45:54 UTC,8,-0.09775
2026-02-06 04:46:16 UTC,9,-0.09775
2026-02-06 04:46:37 UTC,10,37.73216
2026-02-06 04:46:59 UTC,11,38.70968
2026-02-06 04:47:20 UTC,12,39.88270
2026-02-06 04:47:42 UTC,13,31.28055
2026-02-06 04:48:03 UTC,14,27.17498
2026-02-06 04:48:25 UTC,15,27.66373
2026-02-06 04:48:46 UTC,16,28.25024
2026-02-06 04:49:08 UTC,17,28.64125
2026-02-06 04:49:33 UTC,18,29.03226
2026-02-06 04:49:54 UTC,19,29.52102
2026-02-06 04:50:15 UTC,20,30.40078
2026-02-06 04:50:36 UTC,21,30.59628
2026-02-06 04:50:58 UTC,22,30.79179
2026-02-06 04:51:19 UTC,23,31.08504
2026-02-06 04:51:41 UTC,24,31.28055
2026-02-06 04:52:02 UTC,25,31.37830
2026-02-06 04:52:24 UTC,26,32.25806
2026-02-06 04:52:45 UTC,27,34.50636
2026-02-06 04:53:06 UTC,28,34.89736
2026-02-06 04:53:28 UTC,29,34.79961
2026-02-06 04:53:49 UTC,30,35.38612
2026-02-06 04:54:10 UTC,31,35.19062
2026-02-06 04:54:31 UTC,32,35.09286
